id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,hull_distance
2643098,61.2,65,2.8,76,3.04285134858965,0,10,0.0,0.262753528539836,5,
6594182,59.8,65,0.0,72,3.03501158581462,0,10,0.0,0.217817456702727,5,
5714096,64.0,65,2.8,76,3.03928043249833,1,10,0.0,0.260995184744858,5,
4857263,67.6,65,2.8,76,3.0824989689726,1,10,0.0,0.258645214868096,3,
5738926,66.4,65,2.8,76,2.97259759506919,1,10,0.0,0.25904940591323,4,
7190582,64.4,65,8.4,76,3.03378695508775,0,10,0.0,0.259334182314429,5,
2317805,67.2,65,2.8,76,2.97365134882352,0,10,0.0,0.259094811964668,3,
1069425,63.6,65,2.8,76,2.94470711981451,1,10,0.0,0.258469753691621,5,
9576032,66.0,65,2.8,76,2.94054971974053,0,10,0.0,0.259094811964668,4,
7369148,68.4,65,2.8,76,3.02341850088118,0,10,0.0,0.258843582110896,2,
5178439,65.2,65,2.8,76,2.98904110810325,0,10,0.0,0.259672410290298,5,
5123968,62.4,65,2.8,76,2.96254297717166,0,10,0.0,0.25904940591323,5,
1302765,64.0,65,0.0,84,3.04309202321776,0,10,0.0,0.184561293402918,5,
3296450,63.4,65,2.8,81,2.98600483973482,0,10,0.0,0.263192564548187,5,
9381746,63.8,65,0.0,83,3.00385720571173,0,3,0.0,0.191249486918778,5,
5683192,64.8,65,0.0,88,2.98405628535468,0,3,0.0,0.190303673560119,5,
2158347,61.2,65,0.0,72,3.01310906342495,0,10,0.0,0.229617304492512,5,
3015264,62.0,65,0.0,74,3.01072954455492,0,10,0.0,0.194942090256101,5,
6530821,63.0,65,0.0,79,3.05232768733164,0,10,0.0,0.184648700679445,5,
8521307,62.2,65,0.0,75,3.00750782216411,0,10,0.0,0.225986928334126,5,
9461730,62.8,65,0.0,78,3.01270472723442,0,3,0.0,0.185701388442046,5,
6543129,63.2,65,0.0,80,2.98475243019327,0,10,0.0,0.225986928334126,5,
7130825,61.0,65,0.0,72,2.97672806725514,0,10,0.0,0.202199855056514,5,
6091584,48.2,65,0.0,73,3.31219908652734,0,1,0.0,0.302273053096464,5,
5894621,50.4,65,0.0,84,3.18550221807782,0,10,0.0,0.318672975713327,5,
3578406,49.8,65,2.8,81,3.22071784212672,0,10,0.005228,0.309338157101142,5,
9317528,50.2,65,0.0,83,3.13204939824332,0,1,0.0,0.3349241144117,5,
5762910,51.2,65,0.0,88,3.24748515004714,0,1,0.0,0.333483220730307,5,
3280951,47.6,65,0.0,72,3.21065459210896,0,10,0.0,0.302228149649038,5,
2045968,48.4,65,0.0,74,3.15023159267843,0,10,0.0,0.304617729274255,5,
8317509,49.4,65,0.0,79,3.21212944201481,0,10,0.013279,0.319731337741697,5,
5469827,48.6,65,0.0,75,3.17726545533044,0,10,0.0,0.301851901522851,5,
6748193,49.2,65,0.0,78,3.26725846357124,0,1,0.014124,0.32428517299299,5,
4807153,49.6,65,0.0,80,3.24594002770378,0,10,0.0078469999999999,0.301851901522851,5,
9501276,48.8,65,2.8,76,3.18464215711185,0,10,0.0,0.30816399964714,5,
7254913,47.4,65,0.0,72,3.18955374643003,0,10,0.0,0.30251785287486,5,
7918026,62.6,65,0.0,72,3.07767546271429,1,10,0.0,0.211706612085769,5,
3645207,66.2,65,0.0,72,3.10137636883401,1,10,0.068101,0.198687728150178,3,
2941375,65.0,65,0.0,72,2.9719438476493,1,10,0.0,0.202199855056514,4,
2645180,63.0,65,5.6,72,3.09743693933893,0,10,0.0,0.204023067472066,5,
8597263,65.8,65,0.0,72,2.97032810153519,0,10,0.018228,0.188094099929128,3,
4932856,62.2,65,0.0,72,2.92567865049815,1,10,0.0,0.195372290231044,5,
2739650,64.6,65,0.0,72,2.90483594998772,0,10,0.072324,0.188094099929128,4,
4165972,67.0,65,0.0,72,2.97613060655411,0,10,0.0,0.189422220511447,2,
6138297,63.8,65,0.0,72,3.03976834818449,0,10,0.0,0.205887700005735,5,
9084715,61.0,65,0.0,73,3.20383134194624,0,2,0.0,0.253730382469685,5,
2845369,63.2,65,0.0,84,3.24167546678765,0,10,0.0,0.259209876971558,5,
5170386,62.6,65,2.8,81,3.13417931783917,0,10,0.0,0.280519703259021,5,
2514308,63.0,65,0.0,83,3.20504964043247,0,2,0.0,0.272831172793036,5,
5267094,64.0,65,0.0,88,3.14774332071505,0,2,0.0,0.271520914645437,5,
6278590,60.4,65,0.0,72,3.1775147537252,0,10,0.0,0.262954625331178,5,
5187042,61.2,65,0.0,74,3.18819202489387,0,10,0.0,0.252497249948616,5,
3786905,62.2,65,0.0,79,3.14882746961109,0,10,0.0,0.259993958960147,5,
6342708,61.4,65,0.0,75,3.17675724622166,0,10,0.0,0.261365561965106,5,
8613947,62.0,65,0.0,78,3.14048568477386,0,2,0.0,0.263570544455797,5,
3612974,62.4,65,0.0,80,3.14992273934197,0,10,0.0,0.261365561965106,5,
1694783,61.6,65,2.8,76,3.12083337409154,0,10,0.0,0.278121511168405,5,
6271834,60.2,65,0.0,72,3.17886919837993,0,10,0.0,0.253441304432607,5,
34072651,63.4,187,0.0,73,3.04639922651153,1,5,0.0,0.212789304679212,5,
95063127,67.0,187,0.0,73,3.15911337942548,1,8,0.0,0.200159611154652,3,
62945318,65.8,187,0.0,73,3.05181921675362,1,7,0.0,0.203555222517664,4,
60897513,63.8,187,5.6,73,3.02631525254443,0,4,0.0,0.205321731788082,5,
17042638,66.6,187,0.0,73,2.99249165001267,0,7,0.0,0.190002022649909,3,
87904612,63.0,187,0.0,73,2.92799029789199,1,5,0.0,0.196964612064823,5,
78510264,65.4,187,0.0,73,2.91552750239097,0,6,0.0,0.190002022649909,4,
23045176,67.8,187,0.0,73,3.07950427662283,0,8,0.0,0.191265628968897,2,
71453068,64.6,187,0.0,73,2.99366314420102,0,5,0.0,0.207130730050934,5,
45628709,61.8,187,0.0,73,2.96537618081792,0,3,0.0,0.203555222517664,5,
43972106,69.2,187,0.0,84,3.20404882141064,1,10,0.0,0.178187175712809,3,
54879302,68.0,187,0.0,84,3.13761790876403,1,10,0.0,0.184561293402918,4,
34681702,66.0,187,5.6,84,3.17168904013127,0,10,0.0,0.187750550694611,5,
61784935,65.6,187,0.0,84,3.16894604602603,1,10,0.0,0.200490193411229,5,
67409258,65.0,187,2.8,81,3.19364629690478,1,10,0.0,0.264762521262011,5,
68427591,65.4,187,0.0,83,3.14575367870703,1,5,0.0,0.209236908423423,5,
14387690,66.4,187,0.0,88,3.17113351367325,1,5,0.0,0.208181128439006,5,
89604375,65.4,187,8.4,81,3.22129992854158,0,10,0.0,0.263402454957875,5,
71305486,69.0,187,0.0,83,3.18745546737271,1,8,0.0,0.18391049142992,3,
18325407,67.8,187,0.0,83,3.1567454157594,1,7,0.0,0.191249486918778,4,
19483527,65.8,187,5.6,83,3.15109133872286,0,4,0.0,0.194888460581358,5,
67435291,68.6,187,2.8,81,3.23048034248229,1,10,0.0,0.262937277792971,3,
51763480,70.0,187,0.0,88,3.22050058244454,1,8,0.0,0.183016696114988,3,
30975426,67.4,187,2.8,81,3.19924011808684,1,10,0.057541,0.263192564548187,4,
71403958,68.8,187,0.0,88,3.16318914892971,1,7,0.0,0.190303673560119,4,
35897402,66.8,187,5.6,88,3.1819107556602,0,4,0.0,0.193918507395057,5,
27156309,62.8,187,0.0,72,3.0927398396525,1,10,0.0,0.234756787323376,5,
39186520,66.4,187,0.0,72,3.15051052114304,1,10,0.049604,0.2279288267092,3,
19436725,65.2,187,0.0,72,3.0685526858703,1,10,0.006147,0.229617304492512,4,
10693257,63.2,187,5.6,72,3.08747544468063,0,10,0.0,0.230543921141055,5,
56124780,66.0,187,0.0,72,2.99570854745876,0,10,0.0,0.223945679042768,3,
25976038,64.8,187,0.0,72,2.96454126857962,0,10,0.090821,0.223945679042768,4,
59387142,67.2,187,0.0,72,3.09376744724317,0,10,0.006536,0.22431623524546,2,
87563140,64.0,187,0.0,72,3.0300951750203,0,10,0.0,0.231522992329165,5,
50987241,68.8,187,0.0,84,3.0640909696148,0,10,0.0,0.15612386257877,3,
34012568,68.2,187,2.8,81,3.10341404116554,0,10,0.0,0.263891812849298,3,
13085762,68.6,187,0.0,83,3.1087129785233,0,7,0.0,0.157618547511842,3,
12904576,69.6,187,0.0,88,3.09031314306615,0,7,0.0,0.156956739165573,3,
24035867,67.8,187,0.0,79,3.05932357964132,0,10,0.0,0.155709800070948,3,
40326571,67.6,187,0.0,78,3.04308777039226,0,7,0.0,0.154906931004829,3,
16504783,68.0,187,0.0,80,3.12397614917136,0,10,0.0,0.21943403815018,3,
58029641,65.2,187,0.0,84,3.02853988995604,1,10,0.0,0.171830132537853,5,
67198240,64.6,187,2.8,81,3.10257459740068,1,10,0.0,0.262909117334157,5,
82769514,65.0,187,0.0,83,3.01055532229068,1,5,0.0,0.17649185829694,5,
57043269,66.0,187,0.0,88,3.04183788739339,1,5,0.0,0.17565566424556,5,
50129364,62.4,187,0.0,72,2.97300611945976,1,10,0.0,0.226472471692405,5,
25986740,63.2,187,0.0,74,2.94153246652403,1,10,0.0,0.186658751975725,5,
34105672,64.2,187,0.0,79,2.98889172694049,1,10,0.0,0.171719548408983,5,
78691503,63.4,187,0.0,75,3.01938308972373,1,10,0.0,0.222451146254414,5,
37419068,64.0,187,0.0,78,2.9616310270575,1,5,0.0,0.172044228070584,5,
32714856,64.4,187,0.0,80,3.04903559884225,1,10,0.0,0.222451146254414,5,
83429561,67.6,187,0.0,84,3.02609167381977,0,10,0.0,0.15612386257877,4,
69538402,67.0,187,2.8,81,3.09026206491358,0,10,0.097071,0.263891812849298,4,
71465098,67.4,187,0.0,83,3.0469656769039,0,6,0.0,0.157618547511842,4,
94715302,68.4,187,0.0,88,3.05098249655379,0,6,0.0,0.156956739165573,4,
32468591,66.6,187,0.0,79,2.98002527672898,0,10,0.097071,0.155709800070948,4,
98016472,66.4,187,0.0,78,2.9454626616162,0,6,0.097071,0.154906931004829,4,
10857693,66.8,187,0.0,80,3.05607170459351,0,10,0.097071,0.21943403815018,4,
16958274,63.6,187,0.0,74,3.08320980188852,1,10,0.0,0.20609831249986,5,
93608745,67.2,187,0.0,74,3.17026856976948,1,10,0.0,0.190716824855805,3,
12064358,66.0,187,0.0,74,3.0672556251371,1,10,0.0,0.194942090256101,4,
95240316,64.0,187,5.6,74,3.05782755899947,0,10,0.0,0.197110518441763,5,
85397462,66.8,187,0.0,74,3.00352008970087,0,10,0.0,0.17740691724314,3,
